-1.1, -1.1, -0.801802720570113
-1.1, -1, -0.732120558828558
-1.1, -0.9, -0.655141933777059
-1.1, -0.8, -0.572707575956952
-1.1, -0.7, -0.487373605815584
-1.1, -0.6, -0.402323673928969
-1.1, -0.5, -0.321199216928595
-1.1, -0.4, -0.247856211033789
-1.1, -0.3, -0.186068814728772
-1.1, -0.2, -0.139210560847677
-1.1, -0.1, -0.109950166250832
-1.1, 0, -0.1
-1.1, 0.1, -0.109950166250832
-1.1, 0.2, -0.139210560847677
-1.1, 0.3, -0.186068814728772
-1.1, 0.4, -0.247856211033789
-1.1, 0.5, -0.321199216928595
-1.1, 0.6, -0.402323673928969
-1.1, 0.7, -0.487373605815584
-1.1, 0.8, -0.572707575956952
-1.1, 0.9, -0.655141933777059
-1.1, 1, -0.732120558828558
-1.1, 1.1, -0.801802720570113

-1, -1.1, -0.701802720570113
-1, -1, -0.632120558828558
-1, -0.9, -0.555141933777059
-1, -0.8, -0.472707575956951
-1, -0.7, -0.387373605815584
-1, -0.6, -0.302323673928969
-1, -0.5, -0.221199216928595
-1, -0.4, -0.147856211033789
-1, -0.3, -0.0860688147287718
-1, -0.2, -0.0392105608476768
-1, -0.1, -0.00995016625083189
-1, 0, 0
-1, 0.1, -0.00995016625083189
-1, 0.2, -0.0392105608476768
-1, 0.3, -0.0860688147287718
-1, 0.4, -0.147856211033789
-1, 0.5, -0.221199216928595
-1, 0.6, -0.302323673928969
-1, 0.7, -0.387373605815584
-1, 0.8, -0.472707575956951
-1, 0.9, -0.555141933777059
-1, 1, -0.632120558828558
-1, 1.1, -0.701802720570113

-0.9, -1.1, -0.601802720570113
-0.9, -1, -0.532120558828558
-0.9, -0.9, -0.455141933777059
-0.9, -0.8, -0.372707575956951
-0.9, -0.7, -0.287373605815584
-0.9, -0.6, -0.202323673928969
-0.9, -0.5, -0.121199216928595
-0.9, -0.4, -0.0478562110337887
-0.9, -0.3, 0.0139311852712282
-0.9, -0.2, 0.0607894391523232
-0.9, -0.1, 0.0900498337491681
-0.9, 0, 0.1
-0.9, 0.1, 0.0900498337491681
-0.9, 0.2, 0.0607894391523232
-0.9, 0.3, 0.0139311852712282
-0.9, 0.4, -0.0478562110337887
-0.9, 0.5, -0.121199216928595
-0.9, 0.6, -0.202323673928969
-0.9, 0.7, -0.287373605815584
-0.9, 0.8, -0.372707575956951
-0.9, 0.9, -0.455141933777059
-0.9, 1, -0.532120558828558
-0.9, 1.1, -0.601802720570113

-0.8, -1.1, -0.501802720570113
-0.8, -1, -0.432120558828558
-0.8, -0.9, -0.355141933777059
-0.8, -0.8, -0.272707575956951
-0.8, -0.7, -0.187373605815584
-0.8, -0.6, -0.102323673928969
-0.8, -0.5, -0.0211992169285952
-0.8, -0.4, 0.0521437889662113
-0.8, -0.3, 0.113931185271228
-0.8, -0.2, 0.160789439152323
-0.8, -0.1, 0.190049833749168
-0.8, 0, 0.2
-0.8, 0.1, 0.190049833749168
-0.8, 0.2, 0.160789439152323
-0.8, 0.3, 0.113931185271228
-0.8, 0.4, 0.0521437889662113
-0.8, 0.5, -0.0211992169285952
-0.8, 0.6, -0.102323673928969
-0.8, 0.7, -0.187373605815584
-0.8, 0.8, -0.272707575956951
-0.8, 0.9, -0.355141933777059
-0.8, 1, -0.432120558828558
-0.8, 1.1, -0.501802720570113

-0.7, -1.1, -0.401802720570113
-0.7, -1, -0.332120558828558
-0.7, -0.9, -0.255141933777059
-0.7, -0.8, -0.172707575956952
-0.7, -0.7, -0.0873736058155841
-0.7, -0.6, -0.00232367392896904
-0.7, -0.5, 0.0788007830714048
-0.7, -0.4, 0.152143788966211
