-0.9988480000,	0.0099774236,	0.0480000000,	-0.0009403229,	1.0000000000,	-0.0195610187,	0.0480000000
-0.9987995000,	0.0099764735,	0.0490000000,	-0.0009598820,	1.0000000000,	-0.0195591560,	0.0490000000
-0.9987500000,	0.0099755038,	0.0500000000,	-0.0009794393,	1.0000000000,	-0.0195572549,	0.0500000000
-0.9986995000,	0.0099745146,	0.0510000000,	-0.0009989946,	1.0000000000,	-0.0195553155,	0.0510000000
-0.9986480000,	0.0099735058,	0.0520000000,	-0.0010185479,	1.0000000000,	-0.0195533378,	0.0520000000
-0.9985955000,	0.0099724775,	0.0530000000,	-0.0010380993,	1.0000000000,	-0.0195513217,	0.0530000000
-0.9985420000,	0.0099714296,	0.0540000000,	-0.0010576485,	1.0000000000,	-0.0195492674,	0.0540000000
-0.9984875000,	0.0099703622,	0.0550000000,	-0.0010771957,	1.0000000000,	-0.0195471746,	0.0550000000
-0.9984320000,	0.0099692752,	0.0560000000,	-0.0010967407,	1.0000000000,	-0.0195450436,	0.0560000000
-0.9983755000,	0.0099681687,	0.0570000000,	-0.0011162836,	1.0000000000,	-0.0195428743,	0.0570000000
-0.9983180000,	0.0099670426,	0.0580000000,	-0.0011358243,	1.0000000000,	-0.0195406666,	0.0580000000
-0.9982595000,	0.0099658970,	0.0590000000,	-0.0011553627,	1.0000000000,	-0.0195384206,	0.0590000000
-0.9982000000,	0.0099647319,	0.0600000000,	-0.0011748988,	1.0000000000,	-0.0195361364,	0.0600000000
-0.9981395000,	0.0099635472,	0.0610000000,	-0.0011944327,	1.0000000000,	-0.0195338138,	0.0610000000
-0.9980780000,	0.0099623430,	0.0620000000,	-0.0012139641,	1.0000000000,	-0.0195314529,	0.0620000000
-0.9980155000,	0.0099611193,	0.0630000000,	-0.0012334932,	1.0000000000,	-0.0195290538,	0.0630000000
-0.9979520000,	0.0099598761,	0.0640000000,	-0.0012530198,	1.0000000000,	-0.0195266163,	0.0640000000
-0.9978875000,	0.0099586133,	0.0650000000,	-0.0012725439,	1.0000000000,	-0.0195241406,	0.0650000000
-0.9978220000,	0.0099573310,	0.0660000000,	-0.0012920656,	1.0000000000,	-0.0195216266,	0.0660000000
-0.9977555000,	0.0099560291,	0.0670000000,	-0.0013115846,	1.0000000000,	-0.0195190743,	0.0670000000
-0.9976880000,	0.0099547078,	0.0680000000,	-0.0013311011,	1.0000000000,	-0.0195164838,	0.0680000000
-0.9976195000,	0.0099533669,	0.0690000000,	-0.0013506150,	1.0000000000,	-0.0195138550,	0.0690000000
-0.9975500000,	0.0099520066,	0.0700000000,	-0.0013701262,	1.0000000000,	-0.0195111880,	0.0700000000
-0.9974795000,	0.0099506267,	0.0710000000,	-0.0013896346,	1.0000000000,	-0.0195084827,	0.0710000000
-0.9974080000,	0.0099492273,	0.0720000000,	-0.0014091404,	1.0000000000,	-0.0195057391,	0.0720000000
-0.9973355000,	0.0099478084,	0.0730000000,	-0.0014286433,	1.0000000000,	-0.0195029573,	0.0730000000
-0.9972620000,	0.0099463700,	0.0740000000,	-0.0014481435,	1.0000000000,	-0.0195001373,	0.0740000000
-0.9971875000,	0.0099449121,	0.0750000000,	-0.0014676407,	1.0000000000,	-0.0194972791,	0.0750000000
-0.9971120000,	0.0099434347,	0.0760000000,	-0.0014871351,	1.0000000000,	-0.0194943826,	0.0760000000
-0.9970355000,	0.0099419378,	0.0770000000,	-0.0015066266,	1.0000000000,	-0.0194914479,	0.0770000000
-0.9969580000,	0.0099404215,	0.0780000000,	-0.0015261151,	1.0000000000,	-0.0194884751,	0.0780000000
-0.9968795000,	0.0099388856,	0.0790000000,	-0.0015456005,	1.0000000000,	-0.0194854640,	0.0790000000
-0.9968000000,	0.0099373303,	0.0800000000,	-0.0015650829,	1.0000000000,	-0.0194824147,	0.0800000000
